Reward,Win,Sprint,DateTime,Flag
734.69344,False,59,2024-06-17 15:23:14.422884,True
769.61637,False,61,2024-06-17 15:23:14.422884,True
639.21309,False,58,2024-06-17 15:23:14.422884,True
644.86528,False,62,2024-06-17 15:23:14.422884,True
622.28062,False,58,2024-06-17 15:23:14.422884,True
645.13120,False,58,2024-06-17 15:23:14.422884,True
685.04664,False,58,2024-06-17 15:23:14.422884,True
632.20913,False,58,2024-06-17 15:23:14.422884,True
680.59622,False,63,2024-06-17 15:23:14.422884,True
808.94980,False,61,2024-06-17 15:23:14.422884,True
820.57266,False,65,2024-06-17 15:23:14.422884,True
586.70292,False,57,2024-06-17 15:23:14.422884,True
736.32024,False,59,2024-06-17 15:23:14.422884,True
1000.15619,True,55,2024-06-17 15:23:14.422884,True
671.00535,False,58,2024-06-17 15:23:14.422884,True
707.91131,False,59,2024-06-17 15:23:14.422884,True
878.14545,False,65,2024-06-17 15:23:14.422884,True
636.16954,False,58,2024-06-17 15:23:14.422884,True
612.11719,False,62,2024-06-17 15:23:14.422884,True
610.44923,False,58,2024-06-17 15:23:14.422884,True
757.67648,False,60,2024-06-17 15:23:14.422884,True
689.27797,False,59,2024-06-17 15:23:14.422884,True
641.70915,False,63,2024-06-17 15:23:14.422884,True
611.30903,False,58,2024-06-17 15:23:14.422884,True
660.86662,False,58,2024-06-17 15:23:14.422884,True
639.86987,False,58,2024-06-17 15:23:14.422884,True
648.92066,False,58,2024-06-17 15:23:14.422884,True
620.34869,False,57,2024-06-17 15:23:14.422884,True
619.21861,False,57,2024-06-17 15:23:14.422884,True
745.57808,False,60,2024-06-17 15:23:14.422884,True
604.31251,False,57,2024-06-17 15:23:14.422884,True
677.61688,False,58,2024-06-17 15:23:14.422884,True
644.60704,False,58,2024-06-17 15:23:14.422884,True
769.29645,False,60,2024-06-17 15:23:14.422884,True
774.00634,False,60,2024-06-17 15:23:14.422884,True
691.40066,False,59,2024-06-17 15:23:14.422884,True
970.08310,True,57,2024-06-17 15:23:14.422884,True
553.36149,False,61,2024-06-17 15:23:14.422884,True
643.75083,False,58,2024-06-17 15:23:14.422884,True
628.82292,False,58,2024-06-17 15:23:14.422884,True
557.17860,False,57,2024-06-17 15:23:14.422884,True
614.09948,False,58,2024-06-17 15:23:14.422884,True
613.44473,False,58,2024-06-17 15:23:14.422884,True
605.80644,False,58,2024-06-17 15:23:14.422884,True
591.84162,False,62,2024-06-17 15:23:14.422884,True
526.65645,False,57,2024-06-17 15:23:14.422884,True
889.34817,False,65,2024-06-17 15:23:14.422884,True
755.53868,False,63,2024-06-17 15:23:14.422884,True
565.09173,False,62,2024-06-17 15:23:14.422884,True
895.60224,False,66,2024-06-17 15:23:14.422884,True
693.83172,False,59,2024-06-17 15:23:14.422884,True
901.80386,False,65,2024-06-17 15:23:14.422884,True
614.16133,False,58,2024-06-17 15:23:14.422884,True
575.33093,False,57,2024-06-17 15:23:14.422884,True
822.73101,False,65,2024-06-17 15:23:14.422884,True
684.89890,False,63,2024-06-17 15:23:14.422884,True
627.81103,False,57,2024-06-17 15:23:14.422884,True
616.02515,False,57,2024-06-17 15:23:14.422884,True
676.25036,False,58,2024-06-17 15:23:14.422884,True
658.92493,False,58,2024-06-17 15:23:14.422884,True
641.29882,False,58,2024-06-17 15:23:14.422884,True
673.11484,False,59,2024-06-17 15:23:14.422884,True
671.19534,False,58,2024-06-17 15:23:14.422884,True
698.75666,False,59,2024-06-17 15:23:14.422884,True
648.81493,False,57,2024-06-17 15:23:14.422884,True
1136.15471,True,49,2024-06-17 15:23:14.422884,True
705.26636,False,59,2024-06-17 15:23:14.422884,True
763.70780,False,63,2024-06-17 15:23:14.422884,True
716.10185,False,59,2024-06-17 15:23:14.422884,True
646.14494,False,58,2024-06-17 15:23:14.422884,True
814.31086,False,64,2024-06-17 15:23:14.422884,True
591.69591,False,61,2024-06-17 15:23:14.422884,True
665.55467,False,58,2024-06-17 15:23:14.422884,True
739.44709,False,63,2024-06-17 15:23:14.422884,True
563.78848,False,61,2024-06-17 15:23:14.422884,True
741.82623,False,59,2024-06-17 15:23:14.422884,True
621.45824,False,58,2024-06-17 15:23:14.422884,True
681.01365,False,58,2024-06-17 15:23:14.422884,True
604.78076,False,62,2024-06-17 15:23:14.422884,True
648.78988,False,58,2024-06-17 15:23:14.422884,True
688.10566,False,58,2024-06-17 15:23:14.422884,True
812.03705,False,64,2024-06-17 15:23:14.422884,True
723.54522,False,59,2024-06-17 15:23:14.422884,True
718.78534,False,59,2024-06-17 15:23:14.422884,True
832.49420,False,65,2024-06-17 15:23:14.422884,True
746.90520,False,59,2024-06-17 15:23:14.422884,True
615.04340,False,58,2024-06-17 15:23:14.422884,True
973.17459,True,56,2024-06-17 15:23:14.422884,True
708.07395,False,58,2024-06-17 15:23:14.422884,True
600.31042,False,58,2024-06-17 15:23:14.422884,True
646.47262,False,62,2024-06-17 15:23:14.422884,True
665.27692,False,58,2024-06-17 15:23:14.422884,True
654.83761,False,58,2024-06-17 15:23:14.422884,True
687.37785,False,59,2024-06-17 15:23:14.422884,True
571.48989,False,57,2024-06-17 15:23:14.422884,True
636.03633,False,63,2024-06-17 15:23:14.422884,True
602.15388,False,57,2024-06-17 15:23:14.422884,True
1075.10598,True,52,2024-06-17 15:23:14.422884,True
759.95155,False,60,2024-06-17 15:23:14.422884,True
759.37095,False,59,2024-06-17 15:23:14.422884,True
