Trajectory,Reward,DateTime,Flag
0,176.24167,2024-06-17 15:23:14.422884,True
1,-1.45347,2024-06-17 15:23:14.422884,True
2,-197.74581,2024-06-17 15:23:14.422884,True
3,-115.39079,2024-06-17 15:23:14.422884,True
4,201.83877,2024-06-17 15:23:14.422884,True
5,-199.46265,2024-06-17 15:23:14.422884,True
6,30.72585,2024-06-17 15:23:14.422884,True
7,176.24167,2024-06-17 15:23:14.422884,True
8,65.85918,2024-06-17 15:23:14.422884,True
9,205.24167,2024-06-17 15:23:14.422884,True
10,9.86105,2024-06-17 15:23:14.422884,True
11,119.24167,2024-06-17 15:23:14.422884,True
12,-26.92500,2024-06-17 15:23:14.422884,True
13,176.24167,2024-06-17 15:23:14.422884,True
14,-62.18709,2024-06-17 15:23:14.422884,True
15,43.86672,2024-06-17 15:23:14.422884,True
16,-117.52014,2024-06-17 15:23:14.422884,True
17,25.35452,2024-06-17 15:23:14.422884,True
18,-115.34640,2024-06-17 15:23:14.422884,True
19,-266.33645,2024-06-17 15:23:14.422884,True
20,205.24167,2024-06-17 15:23:14.422884,True
21,205.24167,2024-06-17 15:23:14.422884,True
22,44.33874,2024-06-17 15:23:14.422884,True
23,205.24167,2024-06-17 15:23:14.422884,True
24,48.46547,2024-06-17 15:23:14.422884,True
25,205.14248,2024-06-17 15:23:14.422884,True
26,3.73292,2024-06-17 15:23:14.422884,True
27,176.24167,2024-06-17 15:23:14.422884,True
28,-69.36588,2024-06-17 15:23:14.422884,True
29,128.99417,2024-06-17 15:23:14.422884,True
30,46.35210,2024-06-17 15:23:14.422884,True
31,50.33587,2024-06-17 15:23:14.422884,True
32,-85.06176,2024-06-17 15:23:14.422884,True
33,-23.01051,2024-06-17 15:23:14.422884,True
34,-110.10852,2024-06-17 15:23:14.422884,True
35,-154.34959,2024-06-17 15:23:14.422884,True
36,-203.88752,2024-06-17 15:23:14.422884,True
37,147.24167,2024-06-17 15:23:14.422884,True
38,-163.28315,2024-06-17 15:23:14.422884,True
39,204.24167,2024-06-17 15:23:14.422884,True
40,235.28368,2024-06-17 15:23:14.422884,True
41,211.22721,2024-06-17 15:23:14.422884,True
42,118.24167,2024-06-17 15:23:14.422884,True
43,1.21670,2024-06-17 15:23:14.422884,True
44,204.24167,2024-06-17 15:23:14.422884,True
45,-143.07064,2024-06-17 15:23:14.422884,True
46,205.24167,2024-06-17 15:23:14.422884,True
47,-23.52338,2024-06-17 15:23:14.422884,True
48,27.01768,2024-06-17 15:23:14.422884,True
49,-68.86512,2024-06-17 15:23:14.422884,True
50,165.15058,2024-06-17 15:23:14.422884,True
51,-107.64667,2024-06-17 15:23:14.422884,True
52,147.24167,2024-06-17 15:23:14.422884,True
53,0.80678,2024-06-17 15:23:14.422884,True
54,165.24167,2024-06-17 15:23:14.422884,True
55,-14.64361,2024-06-17 15:23:14.422884,True
56,189.87159,2024-06-17 15:23:14.422884,True
57,-14.28272,2024-06-17 15:23:14.422884,True
58,204.24167,2024-06-17 15:23:14.422884,True
59,-32.35348,2024-06-17 15:23:14.422884,True
60,-116.99830,2024-06-17 15:23:14.422884,True
61,-270.79848,2024-06-17 15:23:14.422884,True
62,176.24167,2024-06-17 15:23:14.422884,True
63,176.24167,2024-06-17 15:23:14.422884,True
64,-129.49124,2024-06-17 15:23:14.422884,True
65,46.84181,2024-06-17 15:23:14.422884,True
66,74.47015,2024-06-17 15:23:14.422884,True
67,-251.57581,2024-06-17 15:23:14.422884,True
68,186.95824,2024-06-17 15:23:14.422884,True
69,118.24167,2024-06-17 15:23:14.422884,True
70,-150.74956,2024-06-17 15:23:14.422884,True
71,107.24167,2024-06-17 15:23:14.422884,True
72,205.24167,2024-06-17 15:23:14.422884,True
73,31.91584,2024-06-17 15:23:14.422884,True
